Name,Datatype,Length,Precision,Not-null,Status
PARTY_T_ID,NUMBER,,18,,Active
INTERFACE_ROW_ID,NUMBER,,18,,
BATCH_ID,NUMBER,,18,Yes,Active
PARTY_ORIG_SYSTEM,VARCHAR2,30,,,Active
PARTY_ORIG_SYSTEM_REFERENCE,VARCHAR2,240,,,Active
INSERT_UPDATE_FLAG,VARCHAR2,1,,,Active
ACTION_FLAG,VARCHAR2,1,,,Active
PARTY_TYPE,VARCHAR2,30,,,Active
PARTY_ID,NUMBER,,18,,Active
PARTY_NUMBER,VARCHAR2,30,,,Active
SALUTATION,VARCHAR2,60,,,Active
PARTY_USAGE_CODE,VARCHAR2,30,,,Active
JGZZ_FISCAL_CODE,VARCHAR2,20,,,Active
TAX_REFERENCE,VARCHAR2,50,,,Active
RENT_OWN_IND,VARCHAR2,30,,,Active
ORGANIZATION_NAME,VARCHAR2,360,,,Active
ORGANIZATION_TYPE,VARCHAR2,30,,,Active
ANALYSIS_FY,VARCHAR2,5,,,Active
BRANCH_FLAG,VARCHAR2,1,,,Active
BUSINESS_SCOPE,VARCHAR2,20,,,Active
CEO_NAME,VARCHAR2,240,,,Active
CEO_TITLE,VARCHAR2,240,,,Active
CONG_DIST_CODE,VARCHAR2,2,,,Active
CONTROL_YR,NUMBER,,,,Active
CORPORATION_CLASS,VARCHAR2,60,,,Active
CURR_FY_POTENTIAL_REVENUE,NUMBER,,,,Active
NEXT_FY_POTENTIAL_REVENUE,NUMBER,,,,Active
DISADV_8A_IND,VARCHAR2,1,,,Active
DO_NOT_CONFUSE_WITH,VARCHAR2,255,,,Active
DUNS_NUMBER_C,VARCHAR2,30,,,Active
EMP_AT_PRIMARY_ADR,VARCHAR2,10,,,Active
EMP_AT_PRIMARY_ADR_EST_IND,VARCHAR2,30,,,Active
EMP_AT_PRIMARY_ADR_MIN_IND,VARCHAR2,30,,,Active
EMP_AT_PRIMARY_ADR_TEXT,VARCHAR2,12,,,Active
EMPLOYEES_TOTAL,NUMBER,,,,Active
DISPLAYED_DUNS,VARCHAR2,15,,,Active
EXPORT_IND,VARCHAR2,1,,,Active
FISCAL_YEAREND_MONTH,VARCHAR2,30,,,Active
GSA_INDICATOR_FLAG,VARCHAR2,1,,,Active
HQ_BRANCH_IND,VARCHAR2,30,,,Active
IMPORT_IND,VARCHAR2,1,,,Active
INCORP_YEAR,NUMBER,,4,,Active
LABOR_SURPLUS_IND,VARCHAR2,1,,,Active
LEGAL_STATUS,VARCHAR2,30,,,Active
LINE_OF_BUSINESS,VARCHAR2,240,,,Active
LOCAL_BUS_IDENTIFIER,VARCHAR2,60,,,Active
LOCAL_BUS_IDEN_TYPE,VARCHAR2,30,,,Active
MINORITY_OWNED_IND,VARCHAR2,1,,,Active
